t,Fv_obs,Fv_err
1136.98098000,1.03058642e-30,2.77793813e-31
1525.11029000,1.24103610e-30,2.49174319e-31
2045.73465000,9.31932410e-31,1.93906902e-31
6598.50000000,1.34117181e-30,1.62516453e-31
211282.50000000,1.24229568e-31,2.24415269e-32
359853.50000000,8.07281452e-32,1.90805608e-32
447655.50000000,4.51154168e-32,1.14957119e-32
666589.50000000,4.78878097e-32,1.21705361e-32
1349787.50000000,2.75375294e-32,6.91211545e-33
2483661.50000000,1.03997997e-32,2.93595655e-33
646543.50000000,4.46400810e-32,1.50905038e-32
